account_id,customer_id,account_type,open_date,balance
1,8699,fixed,2021-02-16,42067.35
2,6248,saving,2015-10-10,17067.56
3,8638,saving,2017-08-28,63089.66
4,2782,saving,2016-05-03,95528.9
5,444,saving,2022-10-24,80654.34
6,118,saving,2020-09-20,21521.38
7,9733,fixed,2015-06-19,95113.53
8,567,saving,2019-05-12,75112.77
9,3603,fixed,2017-05-17,15497.2
10,1937,current,2016-07-19,57943.07
11,4184,saving,2018-11-18,96647.86
12,7927,fixed,2016-01-20,9675.81
13,9845,fixed,2020-03-26,27100.5
14,4572,saving,2022-03-30,37409.17
15,5802,current,2015-03-22,11559.43
16,4391,saving,2022-09-28,29924.6
17,4816,saving,2021-11-13,69232.52
18,5501,saving,2019-04-11,47723.88
19,5403,saving,2015-08-26,42107.41
20,6988,saving,2021-06-04,43193.93
21,4782,saving,2017-01-06,75965.23
22,2687,saving,2017-04-19,99128.09
23,1204,fixed,2020-04-16,58864.59
24,5057,current,2019-01-03,75155.02
25,7058,saving,2022-01-20,37255.99
26,8598,current,2015-03-29,86064.01
27,5714,saving,2020-09-02,42032.58
28,5184,saving,2015-11-28,93512.3
29,4215,fixed,2021-11-16,74350.46
30,4080,saving,2015-07-08,70744.32
31,313,current,2021-03-19,29013.49
32,8355,current,2015-12-19,79613.71
33,1529,fixed,2018-01-16,10528.12
34,5497,fixed,2021-03-19,53802.42
35,9758,saving,2021-12-10,73537.73
36,4769,saving,2020-07-24,88359.2
37,7568,saving,2017-05-09,56965.37
38,399,current,2015-06-16,25832.3
39,6631,saving,2019-09-26,84886.14
40,1048,saving,2015-04-11,76798.05
41,1943,saving,2016-06-08,15356.48
42,240,saving,2018-03-16,87238.76
43,6465,saving,2016-05-02,95987.72
44,672,current,2019-03-25,53773.43
45,2620,fixed,2020-10-29,3836.49
46,7920,saving,2022-03-12,91561.43
47,2462,saving,2017-04-01,12276.59
48,8594,fixed,2018-02-23,63312.18
49,2107,saving,2019-05-25,40090.72
50,4149,saving,2020-05-28,99203.37
51,1088,saving,2019-09-02,91716.47
52,6777,fixed,2022-04-03,78450.38
53,9335,saving,2015-03-13,19927.71
54,4382,saving,2021-04-11,69919.3
55,5125,fixed,2016-08-01,57214.58
56,7560,fixed,2022-05-13,13534.68
57,142,fixed,2018-05-18,79468.11
58,397,fixed,2015-07-13,8645.63
59,5138,saving,2016-06-21,48160.97
60,7282,saving,2015-11-28,42656.34
61,1556,fixed,2015-10-20,80619.74
62,7055,current,2016-12-30,42756.74
