complaint_id,customer_id,complaint_type,complaint_date,status
1,3830,Service,2022-12-01,In_Progress
2,596,Loan,2022-05-13,In_Progress
3,78,Transaction,2021-12-17,In_Progress
4,1296,Service,2023-05-01,Pending
5,7061,Transaction,2022-01-04,Pending
6,6169,Transaction,2021-09-11,Pending
7,3385,Other,2022-08-31,Resolved
8,8478,Transaction,2021-01-13,In_Progress
9,4113,Transaction,2022-07-01,Unknown
10,1836,Other,2023-06-24,Resolved
11,1989,Loan,2021-05-21,Unknown
12,824,Service,2021-02-04,Unknown
13,5592,Transaction,2021-03-13,Unknown
14,8830,Transaction,2022-01-30,Pending
15,7459,Transaction,2022-12-07,In_Progress
16,7987,Transaction,2023-03-27,Resolved
17,4160,Service,2021-05-23,Unknown
18,1426,Transaction,2021-10-23,Pending
19,3223,Other,2021-01-23,Resolved
20,2839,Other,2023-11-05,Resolved
21,1354,Other,2022-05-08,Pending
22,992,Other,2022-12-26,In_Progress
23,7159,Transaction,2022-10-25,Resolved
24,7240,Other,2021-03-27,Resolved
25,7600,Other,2023-04-18,Resolved
26,3352,Transaction,2023-10-08,Resolved
27,8982,Other,2023-11-02,Unknown
28,1576,Service,2022-12-10,Resolved
29,6869,Service,2022-08-27,In_Progress
30,4311,Service,2023-04-21,Pending
31,1761,Other,2022-08-16,Unknown
32,3082,Other,2022-06-25,Resolved
33,8799,Other,2021-12-29,Pending
34,7321,Other,2023-01-16,Unknown
35,1344,Transaction,2021-01-10,In_Progress
36,2555,Service,2021-08-20,In_Progress
37,1298,Transaction,2022-12-08,Pending
38,5326,Other,2023-10-15,In_Progress
39,3475,Other,2023-08-03,Pending
40,8713,Other,2021-12-20,Resolved
41,8530,Transaction,2022-05-26,Resolved
42,3746,Other,2022-10-16,Resolved
43,9248,Transaction,2023-03-10,Unknown
44,2158,Other,2022-09-18,Resolved
45,1256,Other,2023-08-03,Unknown
46,5702,Transaction,2022-06-09,Pending
47,7425,Other,2022-10-21,Unknown
48,8074,Service,2022-09-02,Pending
49,5412,Transaction,2023-08-21,Resolved
50,6593,Loan,2023-01-21,In_Progress
51,8761,Service,2022-05-10,Pending
52,9335,Loan,2021-03-18,In_Progress
53,910,Other,2022-07-01,Unknown
54,7714,Service,2023-10-23,Resolved
55,9289,Other,2022-04-22,Unknown
56,2670,Loan,2021-10-20,Unknown
57,7593,Other,2021-06-21,Pending
58,2322,Transaction,2023-01-06,Resolved
59,1452,Other,2022-08-30,In_Progress
60,1419,Other,2021-02-26,Unknown
61,5977,Transaction,2022-01-19,Unknown
62,3338,Transaction,2023-11-16,Resolved
63,8174,Other,2022-05-20,Unknown
64,5904,Loan,2023-04-16,Pending
65,3872,Other,2021-10-27,Resolved
66,7300,Service,2023-08-11,Unknown
67,7297,Transaction,2022-02-15,Unknown
68,4350,Loan,2023-05-10,Unknown
69,5300,Loan,2022-09-25,Pending
70,7987,Other,2022-02-15,Unknown
71,8138,Other,2022-05-26,In_Progress
72,5960,Other,2023-06-19,Resolved
