loan_id,customer_id,loan_type,loan_amount,installments,loan_status
1,3899,Personal,13970.96,29,In_Progress
2,7054,Personal,46669.49,26,Default
3,589,Personal,45194.35,40,Default
4,1662,Personal,41004.32,46,Default
5,7512,Business,8303.01,14,Defaulted
6,5168,Auto,38843.24,54,Paid
7,2236,Personal,46448.45,12,Paid
8,6447,Personal,45580.65,58,In_Progress
9,6282,Personal,45347.78,17,Defaulted
10,6482,Mortgage,34023.23,36,Paid
11,6834,Personal,13260.72,6,Paid
12,9877,Personal,29692.21,30,Defaulted
13,9074,Personal,14907.28,44,Defaulted
14,1265,Auto,40239.19,42,Paid
15,3482,Personal,9436.2,25,Paid
16,8587,Personal,11603.43,38,Defaulted
17,5300,Personal,13989.51,26,Paid
18,2206,Business,30120.27,29,Paid
19,7809,Business,29810.71,14,In_Progress
20,4788,Mortgage,27915.42,53,Defaulted
21,6684,Auto,8119.57,13,Default
22,191,Auto,23708.32,39,Defaulted
23,3828,Personal,46494.97,43,Defaulted
24,7226,Personal,46973.34,21,Default
25,2733,Mortgage,24542.68,31,Defaulted
26,7402,Business,13857.7,6,Paid
27,1830,Personal,49641.02,26,Defaulted
28,5613,Auto,11778.06,42,Default
29,4347,Personal,42205.92,18,Defaulted
30,7126,Business,15439.19,33,Defaulted
31,9766,Mortgage,45585.66,40,In_Progress
32,5556,Personal,6827.98,51,Defaulted
33,4142,Personal,16498.22,59,In_Progress
34,7810,Personal,32506.22,59,In_Progress
35,3669,Personal,5639.03,13,Default
36,1661,Personal,20194.59,26,Defaulted
37,2681,Personal,20290.31,54,Defaulted
38,2000,Auto,26049.77,34,In_Progress
39,6970,Mortgage,1178.5,24,Paid
40,348,Personal,32912.43,19,Default
41,7593,Personal,21058.16,14,In_Progress
42,1289,Auto,12862.8,44,Defaulted
43,9314,Auto,11106.53,58,In_Progress
44,6347,Mortgage,38976.63,51,Paid
45,8797,Auto,15029.01,32,Paid
46,4472,Auto,34187.52,6,Defaulted
47,6770,Business,1481.34,49,Defaulted
48,6188,Personal,48544.56,9,In_Progress
49,1799,Mortgage,4939.03,36,Default
50,9503,Business,20821.93,20,In_Progress
51,2883,Personal,33713.66,6,Paid
52,6280,Personal,31588.76,13,In_Progress
53,3855,Personal,44732.67,52,Default
54,8200,Business,48516.13,11,Paid
55,1272,Personal,36268.0,32,Defaulted
56,1745,Personal,32299.94,31,Paid
57,754,Personal,5819.27,7,In_Progress
58,8416,Personal,22590.93,18,In_Progress
59,8702,Auto,10162.52,35,Paid
60,1546,Personal,19601.87,12,Paid
61,9826,Personal,7926.86,39,Defaulted
62,9379,Mortgage,39482.42,38,Paid
63,5736,Business,26143.82,32,Defaulted
64,3120,Personal,6417.84,28,Defaulted
65,4543,Business,26519.52,45,Defaulted
66,2657,Auto,17140.69,21,In_Progress
67,6860,Mortgage,25566.49,48,Default
68,3469,Business,13586.05,28,Defaulted
69,5727,Business,38062.65,30,Default
70,4303,Auto,1398.23,12,Paid
71,2313,Personal,7870.91,44,Paid
72,70,Mortgage,28995.88,57,Defaulted
73,4069,Auto,32766.1,7,Defaulted
74,6339,Auto,3038.51,30,In_Progress
75,5480,Personal,33648.43,50,Default
76,910,Personal,10875.69,41,In_Progress
77,2801,Personal,8228.2,19,Defaulted
78,9175,Personal,1985.81,46,Paid
79,7857,Business,25094.82,23,Defaulted
80,5569,Business,37865.42,9,Defaulted
81,9060,Personal,30178.07,19,In_Progress
82,2802,Personal,43422.87,58,In_Progress
83,3809,Auto,27171.77,36,Default
84,7896,Mortgage,1440.24,27,Paid
85,2138,Personal,42881.67,12,Defaulted
86,7546,Auto,46021.22,27,Paid
87,3914,Personal,43790.81,9,Paid
88,1094,Mortgage,10318.07,27,Defaulted
89,4067,Auto,49536.82,40,Paid
90,325,Personal,48104.18,22,Paid
91,9411,Personal,42962.43,45,In_Progress
92,4281,Business,29484.66,25,Paid
93,4143,Personal,10709.19,14,Defaulted
94,957,Personal,10492.01,6,Defaulted
95,4488,Personal,26422.36,54,Paid
96,6602,Auto,44734.46,28,Default
97,5913,Business,19761.46,40,Default
98,1380,Mortgage,25205.93,51,Paid
