transaction_id,account_id,transaction_type,transaction_date,amount
1,8083,Withdraw,2020-06-09,1889.64
2,2653,Deposit,2021-09-25,7677.39
3,4978,Transfer,2022-12-04,1194.58
4,3759,Unknown,2021-05-10,882.83
5,3898,Deposit,2020-02-29,6801.89
6,953,Unknown,2021-03-25,2010.89
7,9691,Transfer,2022-01-19,6434.36
8,6359,Unknown,2021-12-01,3559.56
9,3576,Unknown,2021-11-21,967.69
10,914,Deposit,2022-11-01,6248.5
11,3038,Withdraw,2023-03-06,6467.51
12,4056,Unknown,2020-09-23,5406.08
13,3280,Withdraw,2023-03-18,3495.24
14,5086,Unknown,2021-12-16,9139.55
15,7961,Unknown,2022-03-04,6805.57
16,3494,Withdraw,2023-03-16,5548.21
17,2023,Withdraw,2022-09-28,4815.55
18,5761,Unknown,2021-05-09,8431.76
19,5288,Withdraw,2022-02-23,9613.0
20,951,Transfer,2023-06-28,5576.89
21,9055,Deposit,2021-11-14,503.72
22,9823,Withdraw,2023-04-27,4917.47
23,4065,Withdraw,2020-05-08,6458.69
24,8780,Deposit,2020-08-27,8177.16
25,9463,Transfer,2021-01-12,3112.05
26,8875,Unknown,2023-05-08,6768.19
27,1328,Withdraw,2021-03-17,472.22
28,8486,Unknown,2020-12-15,3520.94
29,9050,Unknown,2020-04-30,2996.56
30,4350,Transfer,2020-02-10,865.09
31,913,Withdraw,2020-05-31,7022.43
32,8173,Transfer,2020-06-19,3690.96
33,9381,Unknown,2020-12-02,2186.72
34,7874,Deposit,2023-10-29,1479.78
35,8862,Withdraw,2020-04-03,9037.87
36,9104,Withdraw,2022-09-27,1396.35
37,9772,Unknown,2023-02-13,8658.19
38,1723,Unknown,2023-05-26,5201.82
39,7300,Unknown,2023-03-29,321.1
40,4255,Withdraw,2023-05-27,9582.83
41,5417,Withdraw,2021-02-28,5535.06
42,9804,Unknown,2022-10-31,3182.97
43,8578,Unknown,2022-08-18,2689.58
44,5640,Unknown,2020-04-25,3179.07
45,5739,Transfer,2022-01-10,2156.36
46,5160,Withdraw,2023-07-21,2462.64
47,6761,Transfer,2022-10-28,3797.22
48,6462,Withdraw,2023-07-30,5211.25
49,9786,Withdraw,2020-07-28,7259.65
50,1351,Unknown,2022-02-15,3038.05
51,7767,Deposit,2021-05-28,1360.71
52,174,Deposit,2022-08-28,215.6
53,8551,Withdraw,2023-08-18,3727.42
54,9882,Unknown,2023-05-06,7911.29
55,9002,Unknown,2023-11-13,3295.33
56,943,Withdraw,2021-10-13,2179.43
57,4530,Transfer,2021-03-01,9117.1
58,429,Withdraw,2022-05-16,6626.3
59,1945,Deposit,2023-10-26,9756.85
60,2356,Deposit,2020-06-06,5612.76
61,9607,Transfer,2020-02-21,5413.48
62,4374,Unknown,2023-08-19,9719.91
63,3229,Deposit,2021-07-01,6110.53
64,7896,Withdraw,2021-08-04,5152.19
65,4264,Withdraw,2022-01-07,2394.81
66,5556,Deposit,2022-03-22,3835.54
67,6514,Withdraw,2021-02-03,5625.12
68,4044,Withdraw,2021-11-02,5647.22
69,7680,Withdraw,2020-01-14,4560.06
70,6523,Unknown,2023-12-04,6897.44
71,569,Transfer,2023-03-10,1577.61
72,8030,Deposit,2022-10-06,8676.13
73,6243,Unknown,2021-10-01,7376.46
74,2211,Withdraw,2021-12-29,8242.54
75,8026,Withdraw,2022-02-18,363.32
76,5395,Deposit,2021-10-17,7823.91
77,7125,Withdraw,2021-05-11,7399.12
78,344,Unknown,2021-06-19,212.64
79,2584,Transfer,2023-11-13,4513.85
80,6752,Withdraw,2021-09-14,3054.21
81,3193,Deposit,2023-08-05,2563.96
82,154,Deposit,2023-03-28,1578.75
83,7250,Deposit,2020-08-28,2540.87
84,7445,Deposit,2020-02-04,7623.61
85,4222,Deposit,2021-06-03,9079.12
86,5404,Unknown,2020-05-24,3517.39
87,7804,Deposit,2021-08-14,2861.06
88,1871,Withdraw,2022-11-09,2938.76
89,7959,Withdraw,2021-04-19,5347.76
90,3253,Withdraw,2023-06-25,465.73
91,5941,Withdraw,2020-11-29,5750.61
92,3548,Withdraw,2022-11-11,9202.46
93,3908,Withdraw,2021-03-13,4929.66
94,9577,Withdraw,2022-05-30,3990.83
95,7007,Deposit,2021-08-05,406.78
96,7805,Transfer,2021-04-03,5481.62
97,1476,Deposit,2023-05-17,1372.58
98,4002,Withdraw,2021-08-11,4621.19
99,9350,Withdraw,2021-01-05,3096.27
100,3935,Withdraw,2020-03-21,2615.82
101,4991,Deposit,2020-09-04,9575.67
102,4786,Withdraw,2021-03-27,7879.04
103,3864,Unknown,2021-12-20,1204.05
104,2521,Deposit,2020-06-07,3169.38
105,4101,Withdraw,2023-09-26,7036.57
106,7734,Withdraw,2023-03-10,8237.35
107,778,Withdraw,2023-02-10,5269.82
108,8413,Transfer,2022-02-03,9003.99
