complaint_id,customer_id,complaint_type,complaint_date,status
1,3830,service,2022-12-01,in_progress
2,596,loan,2022-05-13,in_progress
3,78,transaction,2021-12-17,in_progress
4,1296,service,2023-05-01,pending
5,7061,Transaction,2022-01-04,pending
6,6169,transaction,2021-09-11,pending
7,3385,other,2022-08-31,Resolved
8,8478,transaction,2021-01-13,in_progress
9,4113,Transaction,2022-07-01,
10,1836,other,2023-06-24,Resolved
11,1989,loan,2021-05-21,
12,824,service,2021-02-04,
13,5592,transaction,2021-03-13,
14,8830,Transaction,2022-01-30,pending
15,7459,Transaction,2022-12-07,in_progress
16,7987,Transaction,2023-03-27,Resolved
17,4160,service,2021-05-23,
18,1426,transaction,2021-10-23,pending
19,3223,,2021-01-23,resolved
20,2839,,2023-11-05,resolved
21,1354,other,2022-05-08,pending
22,992,other,2022-12-26,in_progress
23,7159,Transaction,2022-10-25,Resolved
24,7240,other,2021-03-27,resolved
25,7600,,2023-04-18,resolved
26,3352,transaction,2023-10-08,Resolved
27,8982,other,2023-11-02,
28,1576,service,2022-12-10,resolved
29,6869,service,2022-08-27,in_progress
30,4311,service,2023-04-21,pending
31,1761,other,2022-08-16,
32,3082,,2022-06-25,Resolved
33,8799,,2021-12-29,pending
34,7321,,2023-01-16,
35,1344,transaction,2021-01-10,in_progress
36,2555,service,2021-08-20,in_progress
37,1298,Transaction,2022-12-08,pending
38,5326,,2023-10-15,in_progress
39,3475,,2023-08-03,pending
40,8713,,2021-12-20,Resolved
41,8530,Transaction,2022-05-26,Resolved
42,3746,,2022-10-16,resolved
43,9248,Transaction,2023-03-10,
44,2158,,2022-09-18,Resolved
45,1256,other,2023-08-03,
46,5702,Transaction,2022-06-09,pending
47,7425,other,2022-10-21,
48,8074,service,2022-09-02,pending
49,5412,transaction,2023-08-21,Resolved
50,6593,loan,2023-01-21,in_progress
51,8761,service,2022-05-10,pending
52,9335,loan,2021-03-18,in_progress
53,910,other,2022-07-01,
54,7714,service,2023-10-23,Resolved
55,9289,,2022-04-22,
56,2670,loan,2021-10-20,
57,7593,,2021-06-21,pending
58,2322,Transaction,2023-01-06,Resolved
59,1452,other,2022-08-30,in_progress
60,1419,,2021-02-26,
61,5977,Transaction,2022-01-19,
62,3338,Transaction,2023-11-16,resolved
63,8174,,2022-05-20,
64,5904,loan,2023-04-16,pending
65,3872,,2021-10-27,Resolved
66,7300,service,2023-08-11,
67,7297,transaction,2022-02-15,
68,4350,loan,2023-05-10,
69,5300,loan,2022-09-25,pending
70,7987,,2022-02-15,
71,8138,other,2022-05-26,in_progress
72,5960,,2023-06-19,resolved
73,2336,transaction,2021-08-25,in_progress
74,7071,loan,2023-11-23,
75,7895,,2021-09-08,Resolved
76,1070,loan,2022-02-19,
77,4220,loan,2023-06-11,
78,8640,other,2021-06-04,resolved
79,5597,,2022-05-16,pending
80,9854,loan,2022-12-27,pending
81,8865,other,2023-07-13,resolved
82,1753,,2023-04-14,
83,3248,loan,2022-01-22,Resolved
84,4485,,2023-08-08,in_progress
