loan_id,customer_id,loan_type,loan_amount,installments,loan_status
1,3899,Personal,13970.96,29,in_progress
2,7054,,46669.49,26,default
3,589,personal,45194.35,40,default
4,1662,personal,41004.32,46,default
5,7512,business,8303.01,14,
6,5168,auto,38843.24,54,paid
7,2236,,46448.45,12,PAID
8,6447,Personal,45580.65,58,in_progress
9,6282,Personal,45347.78,17,defaulted
10,6482,mortgage,34023.23,36,paid
11,6834,personal,13260.72,6,PAID
12,9877,personal,29692.21,30,defaulted
13,9074,personal,14907.28,44,
14,1265,auto,40239.19,42,paid
15,3482,personal,9436.2,25,paid
16,8587,Personal,11603.43,38,defaulted
17,5300,,13989.51,26,PAID
18,2206,business,30120.27,29,paid
19,7809,business,29810.71,14,in_progress
20,4788,mortgage,27915.42,53,defaulted
21,6684,auto,8119.57,13,default
22,191,auto,23708.32,39,
23,3828,,46494.97,43,defaulted
24,7226,personal,46973.34,21,default
25,2733,mortgage,24542.68,31,defaulted
26,7402,business,13857.7,6,PAID
27,1830,personal,49641.02,26,
28,5613,auto,11778.06,42,default
29,4347,personal,42205.92,18,defaulted
30,7126,business,15439.19,33,defaulted
31,9766,mortgage,45585.66,40,in_progress
32,5556,,6827.98,51,
33,4142,,16498.22,59,in_progress
34,7810,Personal,32506.22,59,in_progress
35,3669,personal,5639.03,13,default
36,1661,,20194.59,26,
37,2681,,20290.31,54,
38,2000,auto,26049.77,34,in_progress
39,6970,mortgage,1178.5,24,paid
40,348,,32912.43,19,default
41,7593,personal,21058.16,14,in_progress
42,1289,auto,12862.8,44,
43,9314,auto,11106.53,58,in_progress
44,6347,mortgage,38976.63,51,PAID
45,8797,auto,15029.01,32,PAID
46,4472,auto,34187.52,6,defaulted
47,6770,business,1481.34,49,
48,6188,Personal,48544.56,9,in_progress
49,1799,mortgage,4939.03,36,default
50,9503,business,20821.93,20,in_progress
51,2883,Personal,33713.66,6,paid
52,6280,,31588.76,13,in_progress
53,3855,personal,44732.67,52,default
54,8200,business,48516.13,11,PAID
55,1272,,36268.0,32,
56,1745,,32299.94,31,paid
57,754,,5819.27,7,in_progress
58,8416,Personal,22590.93,18,in_progress
59,8702,auto,10162.52,35,paid
60,1546,,19601.87,12,paid
61,9826,,7926.86,39,
62,9379,mortgage,39482.42,38,paid
