transaction_id,account_id,transaction_type,transaction_date,amount
1,8083,withdrawal,2020-06-09,1889.64
2,2653,Deposit,2021-09-25,7677.39
3,4978,transfer,2022-12-04,1194.58
4,3759,,2021-05-10,882.83
5,3898,deposit,2020-02-29,6801.89
6,953,,2021-03-25,2010.89
7,9691,transfer,2022-01-19,6434.36
8,6359,,2021-12-01,3559.56
9,3576,,2021-11-21,967.69
10,914,deposit,2022-11-01,6248.5
11,3038,withdraw,2023-03-06,6467.51
12,4056,,2020-09-23,5406.08
13,3280,withdraw,2023-03-18,3495.24
14,5086,,2021-12-16,9139.55
15,7961,,2022-03-04,6805.57
16,3494,withdraw,2023-03-16,5548.21
17,2023,withdraw,2022-09-28,4815.55
18,5761,,2021-05-09,8431.76
19,5288,withdraw,2022-02-23,9613.0
20,951,transfer,2023-06-28,5576.89
21,9055,deposit,2021-11-14,503.72
22,9823,withdraw,2023-04-27,4917.47
23,4065,withdraw,2020-05-08,6458.69
24,8780,deposit,2020-08-27,8177.16
25,9463,transfer,2021-01-12,3112.05
26,8875,,2023-05-08,6768.19
27,1328,withdraw,2021-03-17,472.22
28,8486,,2020-12-15,3520.94
29,9050,,2020-04-30,2996.56
30,4350,transfer,2020-02-10,865.09
31,913,withdraw,2020-05-31,7022.43
32,8173,transfer,2020-06-19,3690.96
33,9381,,2020-12-02,2186.72
34,7874,Deposit,2023-10-29,1479.78
35,8862,withdraw,2020-04-03,9037.87
36,9104,withdraw,2022-09-27,1396.35
37,9772,,2023-02-13,8658.19
38,1723,,2023-05-26,5201.82
39,7300,,2023-03-29,321.1
40,4255,withdrawal,2023-05-27,9582.83
41,5417,withdrawal,2021-02-28,5535.06
42,9804,,2022-10-31,3182.97
43,8578,,2022-08-18,2689.58
44,5640,,2020-04-25,3179.07
45,5739,transfer,2022-01-10,2156.36
46,5160,withdrawal,2023-07-21,2462.64
47,6761,transfer,2022-10-28,3797.22
48,6462,withdraw,2023-07-30,5211.25
49,9786,withdraw,2020-07-28,7259.65
50,1351,,2022-02-15,3038.05
51,7767,Deposit,2021-05-28,1360.71
52,174,Deposit,2022-08-28,215.6
53,8551,withdrawal,2023-08-18,3727.42
54,9882,,2023-05-06,7911.29
55,9002,,2023-11-13,3295.33
56,943,withdraw,2021-10-13,2179.43
57,4530,transfer,2021-03-01,9117.1
58,429,withdrawal,2022-05-16,6626.3
59,1945,Deposit,2023-10-26,9756.85
60,2356,deposit,2020-06-06,5612.76
61,9607,transfer,2020-02-21,5413.48
62,4374,,2023-08-19,9719.91
63,3229,deposit,2021-07-01,6110.53
64,7896,withdrawal,2021-08-04,5152.19
65,4264,withdrawal,2022-01-07,2394.81
66,5556,deposit,2022-03-22,3835.54
67,6514,withdrawal,2021-02-03,5625.12
68,4044,withdrawal,2021-11-02,5647.22
69,7680,withdraw,2020-01-14,4560.06
70,6523,,2023-12-04,6897.44
71,569,transfer,2023-03-10,1577.61
72,8030,Deposit,2022-10-06,8676.13
73,6243,,2021-10-01,7376.46
74,2211,withdraw,2021-12-29,8242.54
75,8026,withdrawal,2022-02-18,363.32
76,5395,Deposit,2021-10-17,7823.91
77,7125,withdrawal,2021-05-11,7399.12
78,344,,2021-06-19,212.64
79,2584,transfer,2023-11-13,4513.85
80,6752,withdrawal,2021-09-14,3054.21
81,3193,deposit,2023-08-05,2563.96
82,154,deposit,2023-03-28,1578.75
83,7250,deposit,2020-08-28,2540.87
84,7445,deposit,2020-02-04,7623.61
85,4222,Deposit,2021-06-03,9079.12
86,5404,,2020-05-24,3517.39
87,7804,deposit,2021-08-14,2861.06
88,1871,withdrawal,2022-11-09,2938.76
89,7959,withdraw,2021-04-19,5347.76
90,3253,withdrawal,2023-06-25,465.73
91,5941,withdrawal,2020-11-29,5750.61
92,3548,withdrawal,2022-11-11,9202.46
93,3908,withdrawal,2021-03-13,4929.66
94,9577,withdraw,2022-05-30,3990.83
95,7007,deposit,2021-08-05,406.78
96,7805,transfer,2021-04-03,5481.62
97,1476,Deposit,2023-05-17,1372.58
98,4002,withdraw,2021-08-11,4621.19
99,9350,withdraw,2021-01-05,3096.27
100,3935,withdraw,2020-03-21,2615.82
101,4991,Deposit,2020-09-04,9575.67
102,4786,withdrawal,2021-03-27,7879.04
103,3864,,2021-12-20,1204.05
104,2521,Deposit,2020-06-07,3169.38
105,4101,withdraw,2023-09-26,7036.57
106,7734,withdrawal,2023-03-10,8237.35
107,778,withdraw,2023-02-10,5269.82
108,8413,transfer,2022-02-03,9003.99
109,9822,deposit,2022-11-18,3622.19
110,1542,deposit,2021-10-11,770.53
111,5648,withdraw,2021-02-20,9415.74
112,7740,withdrawal,2022-06-29,4143.4
113,9157,transfer,2023-02-20,240.57
114,6056,transfer,2023-10-18,7194.81
115,6644,,2021-05-21,2525.3
116,6851,withdrawal,2021-05-26,919.24
117,9186,withdrawal,2022-04-01,8442.21
118,3521,transfer,2022-07-05,2433.3
119,6389,deposit,2023-03-27,5438.28
120,8454,deposit,2023-05-07,6126.53
121,4639,transfer,2020-06-25,9450.69
122,3423,Deposit,2022-07-08,3970.9
123,2082,transfer,2020-07-26,5019.05
124,488,withdraw,2020-05-13,3023.87
125,9973,,2021-05-29,4669.51
126,3421,Deposit,2020-11-04,80.62
127,7614,withdrawal,2021-06-05,8588.39
128,6614,transfer,2021-06-19,668.86
129,6438,transfer,2023-02-09,2468.41
130,4984,Deposit,2021-02-20,7193.84
131,1783,transfer,2023-09-25,6419.08
132,7556,withdraw,2020-10-04,7520.05
133,277,deposit,2022-04-08,5057.39
134,9892,transfer,2021-04-24,9286.69
135,8690,deposit,2023-05-30,9450.5
136,5363,withdrawal,2023-07-07,7581.54
137,8039,withdrawal,2023-04-17,3223.82
138,3929,transfer,2022-03-17,421.15
139,4455,withdrawal,2022-11-20,5497.81
140,2840,transfer,2020-07-19,100.49
141,278,deposit,2020-01-30,8095.83
142,4267,Deposit,2023-06-22,5884.56
143,1520,transfer,2022-05-10,6193.05
144,6833,,2022-10-10,613.66
145,4472,Deposit,2021-05-14,5862.66
146,5138,deposit,2023-04-05,1805.58
147,6444,deposit,2021-09-02,4032.21
148,4205,Deposit,2020-01-25,3198.51
149,9248,,2023-06-26,2470.47
150,1466,transfer,2023-06-06,4476.24
151,1080,Deposit,2023-04-02,7621.72
152,9956,transfer,2021-01-29,2339.88
153,2495,,2021-04-18,5109.68
154,6636,transfer,2021-09-09,3572.95
155,9081,Deposit,2020-10-28,6545.17
156,8324,deposit,2022-05-06,5674.88
157,9454,withdraw,2022-02-27,6504.09
158,250,withdrawal,2021-05-11,9823.04
159,1066,withdraw,2021-01-20,5074.82
160,997,deposit,2020-07-20,1036.75
161,231,withdrawal,2020-04-08,457.77
162,9020,,2021-02-20,513.25
163,404,,2022-01-14,3528.25
164,4077,Deposit,2022-11-20,7248.98
165,3964,withdraw,2023-11-12,8402.68
166,3453,transfer,2021-03-28,5944.53
167,8047,deposit,2021-04-09,4805.04
168,7957,deposit,2021-07-30,8467.91
169,4223,,2020-06-21,576.66
170,5765,deposit,2023-04-05,3242.65
171,8432,,2021-08-21,583.12
172,7718,withdraw,2022-01-23,9311.74
173,6714,transfer,2023-05-25,901.03
174,8880,withdraw,2022-08-06,9595.91
175,8555,transfer,2023-03-10,7310.9
176,4270,withdrawal,2022-06-15,4950.44
177,4951,Deposit,2021-09-01,3132.91
178,2305,,2020-06-05,5375.44
179,2148,deposit,2022-04-08,6430.51
180,2535,transfer,2023-10-06,4818.21
181,9564,withdraw,2021-08-06,9175.81
182,2593,,2021-01-20,1401.57
183,3438,,2022-01-06,1292.71
184,5272,,2021-09-24,7797.39
185,2630,withdraw,2021-02-14,5611.61
186,6798,deposit,2021-02-25,4066.82
187,8288,deposit,2023-10-25,8206.33
188,8531,deposit,2021-03-11,9391.26
189,9670,withdrawal,2023-09-21,5251.9
190,1108,Deposit,2022-10-12,5690.45
191,7641,,2022-02-01,559.45
192,4221,transfer,2020-06-08,4989.49
193,2388,deposit,2021-04-16,206.98
194,651,transfer,2023-11-10,4064.93
195,5629,withdraw,2022-04-13,9664.0
196,6816,Deposit,2020-05-27,7627.98
197,1437,Deposit,2020-02-26,7346.78
198,3358,transfer,2022-12-21,7850.77
199,3158,withdraw,2022-09-13,8498.3
200,4235,withdraw,2021-05-26,436.62
201,9172,withdrawal,2021-11-18,8796.17
202,704,,2020-07-29,7748.41
203,6054,deposit,2021-10-08,6842.31
204,1212,withdraw,2020-03-07,4063.27
205,9607,deposit,2022-03-28,3012.4
206,4999,deposit,2022-02-02,1927.51
207,8132,transfer,2022-03-12,3422.68
208,7460,,2020-04-14,8784.03
209,1062,deposit,2022-05-04,574.05
210,1060,transfer,2022-12-28,7264.52
211,8307,Deposit,2023-10-18,860.68
212,8706,withdraw,2020-11-18,1176.98
213,8503,transfer,2021-08-22,2005.41
214,9982,withdrawal,2023-03-31,6741.78
215,845,transfer,2021-09-18,8515.59
216,3260,deposit,2023-08-15,1426.34
217,4121,withdrawal,2020-02-01,2346.47
218,8974,,2023-10-24,6350.24
219,7408,deposit,2023-10-09,4567.11
220,5513,withdrawal,2021-08-21,6338.42
221,675,transfer,2020-11-06,1591.52
222,9477,deposit,2021-03-24,4601.42
223,4332,transfer,2020-12-24,3411.18
224,1486,withdraw,2022-05-18,4372.81
225,9726,,2022-05-21,2970.62
226,2117,withdrawal,2023-03-30,1441.03
227,5371,Deposit,2020-07-10,6671.16
228,6831,,2021-04-20,6693.51
229,735,Deposit,2020-05-17,2651.21
230,7498,transfer,2021-05-25,5775.87
231,3568,withdrawal,2022-08-26,9617.32
232,1021,withdrawal,2021-04-18,5375.92
233,6493,transfer,2021-05-11,3146.8
234,6160,Deposit,2020-04-19,3092.49
235,209,,2022-12-10,8314.17
236,7211,withdraw,2022-03-12,4889.82
237,9166,,2022-06-28,2640.09
238,6828,Deposit,2023-10-12,6312.56
239,1929,deposit,2023-08-10,8648.89
240,4935,Deposit,2021-07-13,7277.35
241,9808,deposit,2023-12-21,872.59
242,1724,deposit,2020-01-28,3423.18
243,7475,withdraw,2021-01-10,8128.99
244,8728,withdraw,2022-07-25,4188.38
245,8574,,2023-06-13,9986.29
246,6907,Deposit,2021-05-02,3425.99
247,3063,,2022-08-09,9075.87
248,6126,transfer,2022-09-03,4599.87
249,9399,Deposit,2023-11-02,9360.63
250,5878,withdraw,2021-08-10,4218.84
251,5251,,2023-09-06,4689.86
252,5487,deposit,2022-12-19,5412.63
253,5994,deposit,2020-08-12,407.52
254,4039,transfer,2020-02-21,849.67
255,8467,Deposit,2023-10-15,8547.27
256,4522,transfer,2022-03-21,2658.87
257,3400,transfer,2022-01-01,6276.35
258,6871,Deposit,2020-09-06,2607.41
259,7060,withdrawal,2021-02-27,3527.31
260,3873,Deposit,2020-02-11,6047.12
261,8582,transfer,2023-12-15,3392.91
262,8463,,2022-09-06,7260.87
263,3022,withdrawal,2023-12-01,5170.28
264,457,,2020-11-18,7569.91
265,8538,transfer,2020-11-20,2147.25
266,3328,transfer,2020-11-30,6453.21
267,5919,transfer,2021-09-13,3140.31
268,3457,,2020-04-26,3537.85
269,5267,deposit,2021-08-03,1874.09
270,9743,Deposit,2020-04-07,1293.97
271,3874,withdraw,2020-09-06,8814.88
272,5202,deposit,2022-06-09,9463.3
273,3758,Deposit,2020-07-04,3941.67
274,9267,deposit,2021-03-06,7637.64
275,2315,Deposit,2023-11-17,8037.03
276,3563,withdrawal,2022-04-15,1427.1
277,4946,,2022-01-03,9391.46
278,7616,withdraw,2022-08-31,8084.06
279,6401,withdrawal,2023-08-02,7898.26
280,2057,withdrawal,2020-07-11,9245.67
281,4417,Deposit,2023-12-05,3535.3
282,1367,transfer,2020-07-12,8868.02
283,7425,,2022-11-29,9980.04
284,3962,transfer,2020-11-12,2321.15
285,9364,transfer,2022-10-12,1223.13
286,2240,transfer,2021-01-11,1096.9
287,9108,,2020-10-23,3781.08
288,5244,withdraw,2023-05-10,8089.6
289,9553,withdrawal,2021-04-12,7510.79
290,85,deposit,2023-04-08,1981.28
291,5032,withdraw,2020-07-08,5351.95
292,9688,,2023-02-16,3621.75
293,7838,Deposit,2021-08-14,8320.04
294,1559,withdraw,2021-09-08,8043.69
295,5240,withdraw,2021-07-03,8103.27
296,5176,,2020-06-25,5257.39
297,6545,Deposit,2022-01-16,8076.58
298,4610,deposit,2022-07-02,7336.25
299,4458,withdrawal,2023-10-10,5252.36
300,3800,withdraw,2022-01-03,7729.84
301,33,Deposit,2021-04-29,3774.84
302,1785,Deposit,2023-10-12,7800.28
303,8463,deposit,2021-10-12,6237.5
304,9578,withdraw,2020-01-04,8620.17
305,6818,Deposit,2020-12-22,8924.41
306,8636,,2020-03-01,3893.45
307,8340,,2020-05-03,2885.65
308,2519,deposit,2021-09-14,2808.04
309,8735,deposit,2023-07-31,3267.92
310,2026,Deposit,2023-06-24,516.55
311,8544,Deposit,2023-05-26,9313.01
312,369,withdraw,2023-08-06,1248.58
313,6169,withdraw,2020-07-11,8780.76
314,7680,withdrawal,2022-07-17,4880.81
315,4428,Deposit,2021-03-06,9004.51
316,780,transfer,2020-05-31,9326.59
317,9676,,2022-11-23,8213.88
318,7667,transfer,2020-03-12,4075.57
319,2486,,2020-01-16,4130.54
320,6288,withdrawal,2023-01-08,9664.62
321,2750,Deposit,2023-07-19,3374.17
322,4170,deposit,2022-06-02,4117.52
323,9208,,2022-06-01,2915.6
324,6026,transfer,2023-01-12,5142.1
325,7259,withdraw,2023-03-11,6108.2
326,9268,transfer,2021-09-25,6633.82
327,9232,Deposit,2021-12-02,1593.28
328,2703,,2021-12-30,3472.41
329,1016,transfer,2021-03-25,9959.72
330,4623,withdrawal,2021-02-06,725.05
331,9862,withdraw,2022-08-19,3728.49
332,8145,withdrawal,2023-07-29,2126.01
333,7789,deposit,2020-08-04,2823.89
334,6258,deposit,2023-12-27,4677.66
335,5207,deposit,2023-07-22,9865.89
336,2274,deposit,2023-11-04,8125.75
337,6268,Deposit,2022-06-14,2414.59
338,1643,Deposit,2023-08-21,1383.07
339,2393,Deposit,2022-10-04,6065.92
340,4390,withdrawal,2023-06-20,8764.5
341,2512,withdrawal,2021-12-21,2010.62
342,1577,transfer,2021-06-25,1959.79
343,7308,withdraw,2020-03-25,6844.18
344,5568,withdrawal,2023-08-08,2979.03
345,3739,transfer,2021-11-10,424.46
346,504,deposit,2022-03-06,3031.66
347,326,deposit,2020-04-06,2114.64
